invoice_id,order_id,amount_due,amount_paid,invoice_date,payment_method
9001,5001,189.5,189.5,2024-01-14,Credit Card
9002,5002,129.0,129.0,2024-01-16,Credit Card
9003,5003,245.75,245.75,2024-01-18,Check
9004,5004,3450.0,3450.0,2024-01-19,Financing
9005,5005,89.99,89.99,2024-01-22,Credit Card
9006,5006,199.25,199.25,2024-01-25,Debit Card
9007,5007,310.0,0.0,2024-01-28,Unpaid
9008,5008,425.5,425.5,2024-02-02,Credit Card
9009,5009,255.0,255.0,2024-02-05,Check
9010,5010,178.25,178.25,2024-02-08,Credit Card
9011,5012,215.6,215.6,2024-02-14,Credit Card
9012,5014,3120.0,1500.0,2024-02-20,Financing
9013,5015,95.0,95.0,2024-02-24,Cash
9014,5016,510.75,510.75,2024-02-26,Credit Card
9015,5017,265.0,265.0,2024-03-01,Check
9016,5018,182.4,182.4,2024-03-04,Credit Card
9017,5019,298.5,298.5,2024-03-07,Debit Card
9018,5020,205.0,205.0,2024-03-11,Credit Card
9019,5022,192.75,192.75,2024-03-17,Credit Card
9020,5023,248.0,248.0,2024-03-20,Check
9021,5024,3675.5,3675.5,2024-03-24,Financing
9022,5025,88.25,88.25,2024-03-27,Cash
9023,5027,312.6,312.6,2024-04-02,Credit Card
9024,5028,455.0,455.0,2024-04-05,Credit Card
9025,5029,199.99,199.99,2024-04-09,Debit Card
9026,5030,260.5,260.5,2024-04-12,Check
9027,5033,3298.75,2000.0,2024-04-22,Financing
9028,5034,92.5,92.5,2024-04-25,Cash
9029,5035,188.6,188.6,2024-04-29,Credit Card
