invoice_id,order_id,amount_due,amount_paid,invoice_date,payment_method
9001,5001,189.50,189.50,2024-01-14,Credit Card
9002,5002,129.00,129.00,01/16/2024,Credit Card
9003,5003,245.75,245.75,2024-01-18,Check
9004,5004,3450.00,3450.00,19-Jan-2024,Financing
9005,5005,89.99,89.99,2024-01-22,Credit Card
9006,5006,199.25,199.25,01/25/2024,Debit Card
9007,5007,310.00,0.00,2024-01-28,Unpaid
9008,5008,425.50,425.50,2024-02-02,Credit Card
9009,5009,255.00,255.00,02/05/2024,Check
9010,5010,178.25,178.25,2024-02-08,Credit Card
9011,5012,215.60,215.60,2024-02-14,Credit Card
9012,5014,3120.00,1500.00,02/20/2024,Financing
9013,5015,95.00,95.00,2024-02-24,Cash
9014,5016,510.75,510.75,26-Feb-2024,Credit Card
9015,5017,265.00,265.00,2024-03-01,Check
9016,5018,182.40,182.40,03/04/2024,Credit Card
9017,5019,298.50,298.50,2024-03-07,Debit Card
9018,5020,205.00,205.00,2024-03-11,Credit Card
9019,5022,192.75,192.75,2024-03-17,Credit Card
9020,5023,248.00,248.00,03/20/2024,Check
9021,5024,3675.50,3675.50,2024-03-24,Financing
9022,5025,88.25,88.25,2024-03-27,Cash
9023,5027,312.60,312.60,2024-04-02,Credit Card
9024,5028,455.00,455.00,04/05/2024,Credit Card
9025,5029,199.99,199.99,2024-04-09,Debit Card
9026,5030,260.50,260.50,2024-04-12,Check
9027,5033,3298.75,2000.00,2024-04-22,Financing
9028,5034,92.50,92.50,25-Apr-2024,Cash
9029,5035,188.60,188.60,2024-04-29,Credit Card
